GO3-HIGHS-Root-LP logging_enabled=1 highs_debug_level=0
Solving LP without presolve or useful basis
Scaling: Original equilibration: min/mean/max     0.01304/      1.197/        100 (cols); min/mean/max     0.01304/      2.318/        100 (rows)
Scaling: Final    equilibration: min/mean/max         0.5/      1.037/      2.076 (cols); min/mean/max      0.5043/      1.001/      1.981 (rows)
Scaling: Extreme equilibration improvement =      (        7671 +        7671) / (       4.152 +       3.927)  =        1.534e+04 /       8.079  =        1899
Scaling: Mean    equilibration improvement = sqrt((       1.197 *       2.318) / (       1.037 *       1.001)) = sqrt(      2.776 /       1.037) =       1.636
Scaling: Yields [min, max, ratio] matrix values of [0.0128, 64, 5000]; Originally [0.0001, 5885, 5.885e+07]: Improvement of 1.177e+04
Scaling: Improves    mean equilibration by a factor 1.636
Scaling: Improves extreme equilibration by a factor 1899
Scaling: Improves max/min matrix values by a factor 1.177e+04
Scaling: Factors are in [0.001953, 256] for columns and in [0.007812, 1024] for rows
Scaling: Improvement factor is 3.656e+07 >= 1 so scale LP
Using dual simplex solver
Cost perturbation for 
   Initially have 839144 nonzero costs ( 20%) with min / average / max = 0.00390625 / 23.8172 / 256
   Large so set max_abs_cost = sqrt(sqrt(max_abs_cost)) = 4
   Perturbation column base = 2e-06
   Perturbation row    base = 1e-12
DuPh2    1152589    -8.3687008034e+05 Pr: 95852(376.39); Du: 0(6.72109e-10) Update limit reached
DuPh2    1157589    -8.3687008032e+05 Pr: 90881(352.412); Du: 0(5.94588e-10) Update limit reached
DuPh2    1162589    -8.3687008026e+05 Pr: 85881(328.366); Du: 0(4.89799e-10) Update limit reached
DuPh2    1167589    -8.3687008021e+05 Pr: 80880(304.321); Du: 0(4.89799e-10) Update limit reached
DuPh2    1172589    -8.3687008015e+05 Pr: 75879(280.301); Du: 0(4.89799e-10) Update limit reached
DuPh2    1177589    -8.3687008009e+05 Pr: 70879(256.301); Du: 0(4.89799e-10) Update limit reached
DuPh2    1182589    -8.3687008004e+05 Pr: 65879(232.275); Du: 0(5.74533e-10) Update limit reached
DuPh2    1187589    -8.3687008001e+05 Pr: 60886(208.308); Du: 0(4.92906e-10) Update limit reached
DuPh2    1192589    -8.3687008000e+05 Pr: 55892(184.021); Du: 0(3.16856e-10) Update limit reached
DuPh2    1197589    -8.3687007998e+05 Pr: 50909(163.881); Du: 0(3.02402e-10) Update limit reached
DuPh2    1202589    -8.3687007996e+05 Pr: 45913(143.966); Du: 0(2.85364e-10) Update limit reached
DuPh2    1207589    -8.3687007994e+05 Pr: 40934(126.159); Du: 0(2.34623e-10) Update limit reached
DuPh2    1212589    -8.3687007992e+05 Pr: 35930(109.434); Du: 0(2.92195e-10) Update limit reached
DuPh2    1217589    -8.3687007990e+05 Pr: 30932(93.2679); Du: 0(2.92195e-10) Update limit reached
DuPh2    1222589    -8.3687007987e+05 Pr: 25930(76.4797); Du: 0(2.3776e-10) Update limit reached
DuPh2    1227589    -8.3687007984e+05 Pr: 20932(60.6151); Du: 0(2.3776e-10) Update limit reached
DuPh2    1232589    -8.3687007981e+05 Pr: 15932(44.6175); Du: 0(2.3776e-10) Update limit reached
DuPh2    1237589    -8.3687007978e+05 Pr: 10933(28.6247); Du: 0(2.3776e-10) Update limit reached
       Iteration        Objective     Infeasibilities num(sum)
DuPh2    1242589    -8.3687007976e+05 Pr: 5931(12.8902); Du: 0(2.44155e-10) Update limit reached
DuPh2    1247589    -8.3687007975e+05 Pr: 934(1.7724); Du: 0(2.44155e-10) Update limit reached
DuPh2    1248520    -8.3687007975e+05 Pr: 0(0); Du: 0(1.86584e-10) Possibly optimal
DuPh2    1248520    -8.3685900000e+05 Pr: 0(0) Perturbation cleanup
Simplex iterations: DuPh2 1248520; Total 1248520
dual simplex solver returns 0 primal and 0 dual infeasibilities: Status Optimal
getKktFailures:: cost norm =        2; bound norm = 3.22e+03
getKktFailures:                      LP  (abs / rel)         Col (abs / rel)         Row (abs / rel)
getKktFailures: primal infeasibility 8.88e-16 / 2.76e-19            0 /        0     8.88e-16 / 2.76e-19
getKktFailures:   dual infeasibility        0 /        0            0 /        0            0 /        0
getKktFailures: objective gap               0
Solution optimality conditions
num/max      0 / 8.88e-16 (relative      0 / 2.76e-19) primal infeasibilities     (tolerance = 1e-09)
num/max      0 /        0 (relative      0 /        0)   dual infeasibilities     (tolerance = 1e-10)
                                         0 /        0  P-D objective error        (tolerance = 1e-07)

Postsolve  : 
Time           :   209.47
Time OriginalLP:   209.27
For LP                     : Solve original LP   209.27 ( 99%)
Model status        : Optimal
Simplex   iterations: 1248520
Objective value     : -8.3685900000e+05
P-D objective error :  0.0000000000e+00
HiGHS run time      :        209.49
